,date,all,female,male,young,adult,weather,maxtemp,RH,maxwind,holiday
230,2013-11-24,5179.0,2317.0,2605,2661,2518.0,Sunny,9,58,0,0
231,2013-11-25,2642.0,1082.0,1401,1150,1492.0,Sunny,10,56,0,0
232,2013-11-26,2551.0,1015.0,1400,1246,1305.0,Sunny,10,57,37,0
233,2013-11-27,2347.0,899.0,1327,1136,1211.0,Sunny,9,58,0,1
234,2013-11-28,2863.0,1238.0,1501,1430,1433.0,Sunny,8,60,0,0
235,2013-11-29,3875.0,1789.0,1891,1962,1913.0,Sunny,11,62,0,0
236,2013-11-30,6107.0,2854.0,2887,3214,2893.0,Sunny,10,69,0,0
237,2013-12-01,4857.0,2289.0,2305,2476,2381.0,Sunny,10,54,45,0
238,2013-12-02,3365.0,1705.0,1495,1594,1771.0,Sunny,9,58,0,0
239,2013-12-03,2938.0,1440.0,1348,1318,1620.0,Sunny,9,60,35,0
240,2013-12-04,3119.0,1540.0,1437,1405,1714.0,Sunny,11,62,34,0
241,2013-12-05,3436.0,1811.0,1484,1576,1860.0,Sunny,12,70,35,0
242,2013-12-06,2343.0,1409.0,855,1150,1193.0,Sunny,11,67,0,0
243,2013-12-07,5579.0,2855.0,2429,2972,2607.0,Sunny,9,72,34,0
244,2013-12-08,4796.0,2235.0,2284,2489,2307.0,Rain,7,83,0,1
245,2013-12-09,2620.0,1080.0,1376,1375,1245.0,Rain,8,83,39,0
246,2013-12-10,2663.0,1153.0,1373,1284,1379.0,Sunny,10,75,37,0
247,2013-12-11,2817.0,1189.0,1466,1387,1430.0,Rain,12,80,0,0
248,2013-12-12,3767.0,1708.0,1885,1933,1834.0,Sunny,13,81,32,0
249,2013-12-13,6804.0,3043.0,3399,3475,3329.0,Rain,13,94,29,0
250,2013-12-14,11110.0,5246.0,5259,5953,5157.0,Rain,13,83,48,0
251,2013-12-15,4974.0,2299.0,2390,2680,2294.0,Sunny,11,83,35,0
252,2013-12-16,3228.0,1442.0,1606,1625,1603.0,Sunny,10,87,32,0
253,2013-12-17,3191.0,1427.0,1627,1688,1503.0,Rain,11,90,24,0
254,2013-12-18,4153.0,2035.0,1880,2208,1945.0,Rain,10,93,0,0
255,2013-12-19,4307.0,2043.0,2028,2282,2025.0,Rain,12,86,74,0
256,2013-12-20,4660.0,2207.0,2227,2441,2219.0,Sunny,9,69,0,0
257,2013-12-21,6193.0,2894.0,2967,3115,3078.0,Sunny,9,68,0,1
